date_grid,NCP,run,datenum,loess_ncp,NCP_q05,NCP_q95
2021-10-03,-15.561498560208927,with entrainment,18903,-0.20190958927572072,-35.04747656472941,1.9493983202587222
2021-10-13,-10.929638297845036,with entrainment,18913,-0.6341342910612114,-26.853352257887558,4.101544949584142
2021-10-23,-10.319429526407138,with entrainment,18923,-1.0306208385130693,-27.395208095078637,7.6784323228921165
2021-11-02,-24.69824264165492,with entrainment,18933,-1.374135665201663,-45.06076279635511,-7.42259721702848
2021-11-12,-19.47122779950919,with entrainment,18943,-1.647445204697359,-35.586885461676495,2.2397349295999414
2021-11-22,-29.811809535294326,with entrainment,18953,-1.833315890570524,-46.59897617353282,-9.037537478064648
2021-12-02,-29.516457389888927,with entrainment,18963,-1.9145141563915251,-47.11647180925041,-8.903993883665365
2021-12-12,-26.732150536355345,with entrainment,18973,-1.8793328867110761,-45.146657701230076,-8.095306008495202
2021-12-22,-17.60779251220779,with entrainment,18983,-1.7402546593323502,-37.38203455993461,-2.7035001088461743
2022-01-01,-9.483122882115604,with entrainment,18993,-1.5163304477044042,-27.394959872983772,6.549106519246351
2022-01-11,-14.380797285518739,with entrainment,19003,-1.2266112252762957,-31.59670460403601,7.429102821877548
2022-01-21,-20.296426381675268,with entrainment,19013,-0.8901479654970816,-41.0740930463424,2.0239135234768004
2022-01-31,-19.87696409302684,with entrainment,19023,-0.5259916418158188,-45.58281623815545,1.1029701198600785
2022-02-10,-23.482306053789255,with entrainment,19033,-0.1531932276815644,-49.20927396536926,2.6712536655355454
2022-02-20,-19.280859843339655,with entrainment,19043,0.20919630345662468,-38.14433367507245,0.2702267446711503
2022-03-02,-11.885764606997713,with entrainment,19053,0.5421259781496908,-35.998825067855776,11.555500799005973
2022-03-12,3.9306857485716717,with entrainment,19063,0.8265448229485778,-15.70664582295359,24.261918749647023
2022-03-22,17.8683350740045,with entrainment,19073,1.043401864404228,-2.5978315334839146,41.07669706309269
