date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,mld_concentration,sub_mld_concentration,int_N_smooth,next_int_N_smooth,dt,diff_mld,we,delta,diff,nitrate_consumption,c_consumption,NCP,datenum,time_step_label
2025-09-02,28.38552698834568,39.99999999999915,171.80882800529292,171.80882800529267,4.123723467817635,10.405559003732725,172.3903698674653,179.20718904255173,10,4.957057790510625,4.957057790510625,6.281835535915089,31.139421782014377,-5.141907829755553,-3.4065139372130537,27.732907844801325,20333,10 days
2025-09-12,34.86539696659459,39.99999999999912,187.20705495829952,207.65751248356003,4.561868414466654,10.886915664225512,195.13475728054127,224.45119653847928,10,6.479869978248907,6.479869978248907,6.325047249758858,40.985483784718234,-15.927568237989533,-10.552013957668066,30.433469827050168,20343,10 days
2025-09-22,42.89588602699721,39.99999999999913,226.38838887803087,293.8872491265854,5.261330538745341,10.342266100466246,243.38466552380996,301.9319872515937,10,8.030489060402623,8.030489060402623,5.080935561720905,40.80239744501038,-18.933468985330677,-12.543423202781574,28.258974242228803,20353,10 days
2025-10-02,52.520383487957254,39.999999999999154,316.55855273509894,404.2512001446359,6.073424235374788,10.3381078050463,312.3431320758322,405.15647034604007,10,9.624497460960043,9.624497460960043,4.264683569671512,41.04543618810148,-10.411144824238534,-6.897383446058029,34.148052742043454,20363,10 days
2025-10-12,64.02101767021266,39.99999999999916,394.0824546143663,517.3309617668992,6.668651371902993,11.634887827776813,419.691066161582,547.5520799943987,10,11.500634182255403,11.500634182255403,4.96623645587382,57.11486874158538,-14.534595815541934,-9.629169727796532,47.48569901378885,20373,10 days
2025-10-22,77.69824919881297,39.999999999999126,548.4321911352803,721.0740780716613,7.8220142655886065,12.417610259005594,565.8181637497081,727.3089258603841,10,13.677231528600316,13.677231528600316,4.595595993416987,62.85503041387211,-18.26608375530941,-12.101280487892485,50.75374992597962,20383,10 days
2025-11-01,93.05728744077504,39.999999999999055,754.9398454994771,943.5217377425921,9.045482458945413,12.296029266056891,766.1854815607525,968.6199572655429,10,15.359038241962068,15.359038241962068,3.250546807111478,49.925272717712886,-38.876555700368385,-25.755718151494058,24.169554566218828,20393,10 days
2025-11-11,110.09337664065826,39.99999999999894,995.1844080474996,1241.2640559823753,10.814764854668203,14.112895319211336,999.6643096782979,1243.0031596284084,10,17.03608919988322,17.03608919988322,3.2981304645431333,56.1872447868091,-31.04435241275496,-20.56688347345016,35.62036131335894,20403,10 days
2025-11-21,128.77141806958818,39.99999999999878,1248.8686754879166,1544.223685160258,12.74920711600333,14.19116823937554,1286.6216084457412,1574.8388274029537,10,18.678041428929916,18.678041428929916,1.4419611233722094,26.933009601252447,-43.61844881733282,-28.897222341482994,-1.964212740230547,20413,10 days
2025-12-01,150.20159723728543,39.999999999998536,1615.8117418018066,1939.0287410662283,12.786242203270422,14.612889313064269,1642.7733912294034,1964.5946579789027,10,21.430179167697247,21.430179167697247,1.8266471097938464,39.145374839038475,-67.93456382644968,-45.006648535022904,-5.86127369598443,20423,10 days
2025-12-11,173.34274860314596,39.999999999998245,2063.6397563984865,2410.5315477102226,13.518761670871765,14.397865019724657,2045.9087739958632,2328.343902036701,10,23.141151365860537,23.141151365860537,0.8791033488528921,20.343463662039678,-81.3141160169605,-53.87060186123633,-33.527138199196656,20433,10 days
2020-02-16,146.45936192085372,40.00000000000077,2167.8481436947363,2060.1175651906683,14.403714915466121,14.522823486961542,2121.170667419394,2017.7215625418437,15,-7.4766918146500245,0,0.11910857149542053,0,-43.012394262234466,-18.997140799153556,-18.997140799153556,18308,15 days
